,z=0.003,z=0.005,z=0.01,z=0.03,z=0.05,z=0.1,z=0.2,z=0.3,z=0.6,z=0.8,z=1.0,z=1.2,z=1.5,Vr
15,18.331658291457288,19.326633165829147,20.954773869346734,23.939698492462313,25.5678391959799,27.91959798994975,30.0,30.0,30.0,30.0,30.0,30.0,30.0,3.1259729769227698
16,17.879396984924625,18.964824120603016,20.50251256281407,23.48743718592965,25.025125628140703,27.376884422110553,29.90954773869347,30.0,30.0,30.0,30.0,30.0,30.0,3.1595437994196227
17,17.517587939698494,18.51256281407035,20.14070351758794,23.035175879396988,24.57286432160804,26.92462311557789,29.457286432160803,30.0,30.0,30.0,30.0,30.0,30.0,3.192415996557802
18,17.155778894472363,18.150753768844222,19.688442211055275,22.582914572864322,24.120603015075375,26.472361809045225,29.00502512562814,30.0,30.0,30.0,30.0,30.0,30.0,3.2246248185223245
19,16.79396984924623,17.78894472361809,19.326633165829147,22.22110552763819,23.758793969849247,26.020100502512562,28.55276381909548,30.0,30.0,30.0,30.0,30.0,30.0,3.256202753092921
20,16.522613065326635,17.517587939698494,18.964824120603016,21.859296482412063,23.396984924623116,25.65829145728643,28.190954773869347,29.728643216080403,30.0,30.0,30.0,30.0,30.0,3.2871798148296336
21,16.160804020100503,17.155778894472363,18.69346733668342,21.49748743718593,23.035175879396988,25.2964824120603,27.82914572864322,29.27638190954774,30.0,30.0,30.0,30.0,30.0,3.3175837967945374
22,15.889447236180905,16.884422110552762,18.42211055276382,21.1356783919598,22.673366834170857,24.934673366834172,27.376884422110553,28.91457286432161,30.0,30.0,30.0,30.0,30.0,3.3474404905443156
23,15.618090452261306,16.613065326633166,18.060301507537687,20.8643216080402,22.311557788944725,24.57286432160804,27.105527638190956,28.55276381909548,30.0,30.0,30.0,30.0,30.0,3.3767738791227573
24,15.43718592964824,16.34170854271357,17.78894472361809,20.592964824120603,22.040201005025125,24.301507537688444,26.743718592964825,28.28140703517588,30.0,30.0,30.0,30.0,30.0,3.405606306974206
25,15.165829145728644,16.160804020100503,17.608040201005025,20.321608040201006,21.768844221105528,23.939698492462313,26.381909547738694,27.91959798994975,30.0,30.0,30.0,30.0,30.0,3.4339586300457787
26,14.984924623115578,15.889447236180905,17.33668341708543,20.050251256281406,21.49748743718593,23.668341708542712,26.110552763819094,27.55778894472362,30.0,30.0,30.0,30.0,30.0,3.4618503488150494
27,14.71356783919598,15.708542713567839,17.06532663316583,19.77889447236181,21.22613065326633,23.396984924623116,25.8391959798995,27.28643216080402,29.728643216080403,30.0,30.0,30.0,30.0,3.4892997265457057
28,14.532663316582916,15.43718592964824,16.884422110552762,19.507537688442213,20.954773869346734,23.12562814070352,25.47738693467337,27.015075376884422,29.457286432160803,30.0,30.0,30.0,30.0,3.516323894716852
29,14.35175879396985,15.256281407035175,16.613065326633166,19.236180904522612,20.683417085427138,22.85427135678392,25.20603015075377,26.743718592964825,29.185929648241206,30.0,30.0,30.0,30.0,3.542938947276985
30,14.170854271356784,15.075376884422111,16.4321608040201,19.055276381909547,20.50251256281407,22.582914572864322,25.025125628140703,26.472361809045225,28.91457286432161,29.728643216080403,30.0,30.0,30.0,3.5691600251291695
31,13.989949748743719,14.894472361809045,16.251256281407034,18.87437185929648,20.231155778894472,22.402010050251256,24.753768844221106,26.201005025125628,28.64321608040201,29.457286432160803,30.0,30.0,30.0,3.5950013920501926
32,13.809045226130653,14.71356783919598,16.07035175879397,18.603015075376884,20.050251256281406,22.13065326633166,24.482412060301506,25.92964824120603,28.371859296482413,29.185929648241206,29.728643216080403,30.0,30.0,3.62047650307596
33,13.628140703517587,14.532663316582916,15.889447236180905,18.42211055276382,19.77889447236181,21.949748743718594,24.21105527638191,25.65829145728643,28.100502512562816,28.91457286432161,29.457286432160803,29.819095477386934,30.0,3.6455980662420644
34,13.537688442211055,14.35175879396985,15.708542713567839,18.241206030150753,19.597989949748744,21.678391959798994,24.030150753768844,25.47738693467337,27.82914572864322,28.733668341708544,29.27638190954774,29.547738693467338,29.819095477386934,3.670378098447601
